permision_delivery_date,n/o,id,march_route_name,company_name,company_name_external,border_crossing,border_crossing_alternative,march_route_time_direct,march_route_time_return,march_route_regularity,license_terms,destionation_country_name,destionation_country_code,march_route_status
20.06.2017,39,BY39,"Білгород-Дністровський АС вул. Вокзальна,2 - Мозирь","ПП ""ФАВОРИТ""","ООО філіал ""Автобусний парк № 2""|ВАТ ""Гомельоблавтотранс""",Виступовичі,,16:10,16:10,"Щоденно, крім вівторка",2020-06-19 00:00:00,Білорусь,BY,True
20.02.2019,40,MD40,Болград-Тараклія,ФОП Ільєва Т.М.,Без паритету,Залізничне,,01:25,01:25,"Щоденно, крім понеділка",2021-05-09 00:00:00,Молдова,MD,True
20.02.2019,42,MD42,Болград-Чадир-Лунга,ФОП Ільєва Т.М.,Без паритету,Нові Трояни,,02:15,02:15,"Щоденно, крім понеділка",2023-05-09 00:00:00,Молдова,MD,True
,45,MD45,Болград-Кахул,без паритету,S.A. PAT-8,Болград,,,,,2019-10-11 00:00:00,Молдова,MD,True
11.09.2017,47,PL47,Борислав-Устка,"ТОВ ""ОДРІ""",Euro-Trans Biuro Podrozy,Краковець,Шегині ,23:50,25:20,Щоденно,2020-10-09 00:00:00,Польща,PL,True
,48,MD48,Бориспіль (Аеропорт Бориспіль) - Кишинів,"ТОВ ""АТМ ТРАНС"" , 03040, м. Київ, вул. Васильківська, буд. 1, оф.206, Ліцензія АЕ № 573313","Жолнач Александру ИП S.R.L. ""VERHOVTEVO",Платоново,,,,,2019-02-26 00:00:00,Молдова,MD,True
,49,BG49,"Бориспіль (вул. Київський шлях,84)-Созопіль",ФОП Пєхотін В.С.,ООД Експрес,Рені,,,,,2019-01-07 00:00:00,Болгарія,BG,True
,50,RO50,"Бориспіль АС вул. Київський шлях,2/6 - Сучава","ФОП Новик В.В., Чернівецька обл., Новоселицький р-н., с. Маршинці, ЄРПОУ 2937222253",румунський перевізник SC GAL SPEDITION SRL,Порубне,,,,,2020-09-08 00:00:00,Румунія,RO,True
08.12.2016,53,PL53,Броди  - Люблін,ТОВ Сокальавтотранс,Buslinetrans Sp.z.o.o.,Угринів,,6:30,,Щоденно,2019-10-08 00:00:00,Польща,PL,True
24.05.2017,54,PL54,"Броди (АС, вул. Привокзальна,2) - Варшава","ФОП Онишків М.М., Львівська обл., Яворівський р-н., смт. Немирів, вул. Івана-Франка,52 Ліцензія АЕ № 267970",польський перевізник Grzegorz wos,Грушів ,Рава-Руська,13:00,12:00,"Щоденно, окрім свят Різдва Христового та Великодня",2020-05-23 00:00:00,Польща,PL,True
,55,MD55,"Вапнярка (пл. Вокзальна, 1) -Кишинів",без паритету,ОАО Рыбницкая АК-2831,Болган,,,,,2020-03-19 00:00:00,Молдова,MD,True
13.06.2017,58,PL58,"Верховина АС (вул. Грушевського, 3) -Вроцлав",ФОП Опирук П.В.,P-Trans Sp. Z.o.o.,Краковець,Грушів,18:00,18:00,Щоденно,2019-07-07 00:00:00,Польща,PL,True
,60,IT60,"Вінниця (вул. Хмельницьке шосе, 107) - Беневенто","ПП Паславський Я.А. 81714, Львівська обл., Жидачівський р-н, смт. Нові Стрілища, вул. Б.Хмельницького, 54 Ліцензія серії АВ № 532584",S.E.A.F. s.a.s. Ferrazza Angelo,Тиса,,,,,2022-11-27 00:00:00,Італія,IT,True
,61,IT61,"Чернівці (вул. Головна, 219) - Барі","ПП Паславський Я.А. 81714, Львівська обл., Жидачівський р-н, смт. Нові Стрілища, вул. Б.Хмельницького, 54 Ліцензія серії АВ № 532584",S.E.A.F. s.a.s. Ferrazza Angelo,Шегині,,,,,2022-11-27 00:00:00,Італія,IT,True
29.01.2018,63,PL63,Вінниця - Зелена Гура,"ТОВ ""ОДРІ"", 
 ",AD EURO-TRANS BIURO PODROZY,Шегині,Краковець,22:30,24:20,Щоденно,2019-07-20 00:00:00,Польща,PL,True
,64,RU64,"Вінниця (АС-1, вул. Київська,8)-Москва (Новоясенівська)",ФОП Черський І.К.,ООО БАССИС ЛАЙН,Сеньківка,,,,,2019-07-19 00:00:00,Росія,RU,True
08.08.2017,65,PL65,"Вінниця (АС-1, Київська,8) - Гданьск","ПП ""АТП Поділля-Тур""|ФОП Харкавий В.І.
 ", LUX-REISEN SPOLKA Z.O.O.|Koval Auto,Шегині ,,25:20,25:45,Щоденно,2019-09-22 00:00:00,Польща,PL,True
